Name,Number,SampleType,Location,CellLine,Media,Treatment,Replicate,Run Order
"863, DMEM, Methanol Cell pellet (1)",181,Cell pellet,Box #3,863,DMEM,none,1,65
"141, STDP + Atorv, Methanol Cell pellet (1)",28,Cell pellet,Box #1,141,STDP,Atorvastatin,1,66
"815, STDP, Methanol Cell pellet (3)",165,Cell pellet,Box #3,815,STDP,none,3,67
"141, DMEM, Methanol Cell pellet (1)",1,Cell pellet,Box #1,141,DMEM,none,1,68
"141, STDP, Methanol Cell pellet (1)",19,Cell pellet,Box #1,141,STDP,none,1,69
"863, DMEM + Atorv, Methanol Cell pellet (3)",192,Cell pellet,Box #3,863,DMEM,Atorvastatin,3,70
"815, DMEM + Atorv, Methanol Cell pellet (2)",155,Cell pellet,Box #3,815,DMEM,Atorvastatin,2,71
"224A, STDP + Atorv, Methanol Cell pellet (3)",102,Cell pellet,Box #2,224A,STDP,Atorvastatin,3,72
,Pool,,,,,,,73
"224B, DMEM + Atorv, Methanol Cell pellet (3)",120,Cell pellet,Box #2,224B,DMEM,Atorvastatin,3,74
"863, DMEM + Atorv, Methanol Cell pellet (2)",191,Cell pellet,Box #3,863,DMEM,Atorvastatin,2,75
"224A, STDP, Methanol Cell pellet (3)",93,Cell pellet,Box #2,224A,STDP,none,3,76
"141, STDP, Methanol Cell pellet (3)",21,Cell pellet,Box #1,141,STDP,none,3,77
"863, STDP + Atorv, Methanol Cell pellet (2)",209,Cell pellet,Box #3,863,STDP,Atorvastatin,2,78
"246, DMEM, Methanol Cell pellet (2)",38,Cell pellet,Box #1,246,DMEM,none,2,79
"246, STDP + Atorv, Methanol Cell pellet (1)",64,Cell pellet,Box #1,246,STDP,Atorvastatin,1,80
"863, STDP, Methanol Cell pellet (2)",200,Cell pellet,Box #3,863,STDP,none,2,81
,Pool,,,,,,,82
