name,LM Main Class,LM Subclass
SM(d18:2/14:0),Phosphosphingolipids,Ceramide phosphocholines
SM(d18:2/16:0),Phosphosphingolipids,Ceramide phosphocholines
SM(d18:2/18:3),Phosphosphingolipids,Ceramide phosphocholines
SM(d18:2/24:1),Phosphosphingolipids,Ceramide phosphocholines
SM(d20:2/24:1),Phosphosphingolipids,Ceramide phosphocholines
SM(d22:0/18:1),Phosphosphingolipids,Ceramide phosphocholines
SM(d22:1/22:1),Phosphosphingolipids,Ceramide phosphocholines
SM(d25:0/18:1),Phosphosphingolipids,Ceramide phosphocholines
TG(14:0_16:0_16:1),Triradylglycerols,Triacylglycerols
TG(14:0_16:0_18:0),Triradylglycerols,Triacylglycerols
TG(14:0_16:0_18:1),Triradylglycerols,Triacylglycerols
TG(14:0_16:1_18:1),Triradylglycerols,Triacylglycerols
TG(14:0_16:1_18:2),Triradylglycerols,Triacylglycerols
TG(14:1_16:0_16:1),Triradylglycerols,Triacylglycerols
TG(15:0_16:0_18:1),Triradylglycerols,Triacylglycerols
TG(16:0_16:0_18:1),Triradylglycerols,Triacylglycerols
TG(16:0_16:1_18:1),Triradylglycerols,Triacylglycerols
TG(16:0_16:1_18:2),Triradylglycerols,Triacylglycerols
TG(16:0_16:1_18:3),Triradylglycerols,Triacylglycerols
TG(16:0_16:1_20:4),Triradylglycerols,Triacylglycerols
TG(16:0_17:1_18:1),Triradylglycerols,Triacylglycerols
TG(16:0_18:0_18:1),Triradylglycerols,Triacylglycerols
TG(16:0_18:0_22:1),Triradylglycerols,Triacylglycerols
TG(16:0_18:1_18:2),Triradylglycerols,Triacylglycerols
TG(16:0_18:1_22:3),Triradylglycerols,Triacylglycerols
TG(16:0_18:1_22:4),Triradylglycerols,Triacylglycerols
TG(16:0_18:1_24:1),Triradylglycerols,Triacylglycerols
TG(16:1_18:0_18:1),Triradylglycerols,Triacylglycerols
TG(16:1_18:1_18:2),Triradylglycerols,Triacylglycerols
TG(16:1_18:1_24:1),Triradylglycerols,Triacylglycerols
TG(16:1_18:1_26:0),Triradylglycerols,Triacylglycerols
TG(17:0_18:1_18:2),Triradylglycerols,Triacylglycerols
TG(17:0_18:1_20:2),Triradylglycerols,Triacylglycerols
TG(17:0_18:1_20:3),Triradylglycerols,Triacylglycerols
TG(17:1_18:0_18:1),Triradylglycerols,Triacylglycerols
TG(18:0_18:0_18:1),Triradylglycerols,Triacylglycerols
TG(18:0_18:1_18:1),Triradylglycerols,Triacylglycerols
TG(18:0_18:1_18:2),Triradylglycerols,Triacylglycerols
TG(18:0_18:1_20:1),Triradylglycerols,Triacylglycerols
TG(18:0_18:1_20:2),Triradylglycerols,Triacylglycerols
TG(18:0_18:1_22:4),Triradylglycerols,Triacylglycerols
TG(18:0_18:1_22:5),Triradylglycerols,Triacylglycerols
TG(18:1_18:2_18:3),Triradylglycerols,Triacylglycerols
