name,LM Main Class,LM Subclass
PC(18:1_20:2),Glycerophosphocholines,Diacylglycerophosphocholines 
PC(18:1_20:3),Glycerophosphocholines,Diacylglycerophosphocholines 
PC(18:1_20:4),Glycerophosphocholines,Diacylglycerophosphocholines 
PC(18:1_20:5),Glycerophosphocholines,Diacylglycerophosphocholines 
PC(18:1_22:1),Glycerophosphocholines,Diacylglycerophosphocholines 
PC(18:1_22:2),Glycerophosphocholines,Diacylglycerophosphocholines 
PC(18:1_22:3),Glycerophosphocholines,Diacylglycerophosphocholines 
PC(18:1_22:5),Glycerophosphocholines,Diacylglycerophosphocholines 
PC(18:1_22:6),Glycerophosphocholines,Diacylglycerophosphocholines 
PC(18:1_24:0),Glycerophosphocholines,Diacylglycerophosphocholines 
PC(18:1_24:1),Glycerophosphocholines,Diacylglycerophosphocholines 
PC(18:1_26:0),Glycerophosphocholines,Diacylglycerophosphocholines 
PC(18:2_18:2),Glycerophosphocholines,Diacylglycerophosphocholines 
PC(18:2_19:0),Glycerophosphocholines,Diacylglycerophosphocholines 
PC(18:2_20:2),Glycerophosphocholines,Diacylglycerophosphocholines 
PC(18:2_24:1),Glycerophosphocholines,Diacylglycerophosphocholines 
PC(20:1_22:5),Glycerophosphocholines,Diacylglycerophosphocholines 
PC(20:2_20:3),Glycerophosphocholines,Diacylglycerophosphocholines 
PC(20:3_20:4),Glycerophosphocholines,Diacylglycerophosphocholines 
PC(20:3_22:1),Glycerophosphocholines,Diacylglycerophosphocholines 
PE(14:0_16:0),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(16:0_16:1),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(16:0_17:1),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(16:0_18:0),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(16:0_20:3),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(16:0_20:4),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(16:0_22:4),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(16:0_22:6),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(16:1_18:1),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(16:1_20:4),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(16:1_22:6),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(16:1_24:0),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(17:0_20:4),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(17:1_18:1),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(18:0_18:1),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(18:0_20:3),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(18:0_20:4),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(18:0_20:5),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(18:0_22:5),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(18:1_18:2),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(18:1_19:0),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(18:1_20:3),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(18:1_20:4),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(18:1_20:5),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(18:1_22:0),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
PE(18:1_22:1),Glycerophosphoethanolamines,Diacylglycerophospho-ethanolamines 
